Sat Apr  8 09:28:08 2023    performance/output.dat

         69375377 function calls (69262752 primitive calls) in 78.555 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3722    0.008    0.000    0.049    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:457(_xxx)
    16870    0.008    0.000    0.008    0.000 {method 'strip' of 'str' objects}
     5280    0.008    0.000    0.008    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:184(__init__)
     1596    0.008    0.000    0.008    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     2480    0.008    0.000    0.016    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/_api/__init__.py:132(check_shape)
  378/243    0.008    0.000    0.684    0.003 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:425(get_extent_offsets)
     3699    0.008    0.000    0.089    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:822(from_extents)
     5065    0.008    0.000    0.027    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1862(transform_affine)
     7560    0.008    0.000    0.010    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:413(_pop)
     1861    0.008    0.000    0.558    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:196(__init__)
     1503    0.008    0.000    0.008    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:414(_broadcast_shape)
    20229    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x5555acbf8740}
10364/6135    0.008    0.000    0.031    0.000 {built-in method builtins.hash}
    12910    0.007    0.000    0.029    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:242(convert_xunits)
     1110    0.007    0.000    0.007    0.000 {built-in method numpy.zeros}
     5499    0.007    0.000    0.038    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:347(_set_char_immediate)
      648    0.007    0.000    0.008    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:1879(scale_range)
     1406    0.007    0.000    0.013    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:1138(update_from)
    45412    0.007    0.000    0.007    0.000 {built-in method builtins.id}
     4682    0.007    0.000    0.007    0.000 {built-in method _hashlib.openssl_md5}
     4641    0.007    0.000    0.014    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:807(set_style)
      648    0.007    0.000    0.040    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:487(transformed)
